ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0048878,chemical homeostasis,95/3314,420/18773,0.226190476,1.281313763,2.699621752,0.005156236,0.098767279,0.086609989,hamp/lipg/zgc:162608/cnnm2b/dgat2/enpp1/atp13a2/tm6sf2b/ormdl3/atp1b1b/tmem175/akr1a1a/zgc:153039/angptl4/fitm2/tjp3/plce1/aqp1a.1/arl15b/tfr1a/slc9a1b/hk1/selenon/foxo4/pck1/atp6v1ba/ccdc115/hnf1ba/cahz/slc12a7b/slc4a2b/slc35g1/hpxa/atp1b1a/abcg5/edn1/apoba/kdsr/cln3/wnk2/atp6ap1a/fth1a/bcl2l10/atp2b1a/atp1b3b/zgc:56095/cetp/tlcd3bb/plcg1/lamtor1/nfkb2/cln8/ryr1a/smdt1b/cyp7a1/clic2/glrx3/hkdc1/hk2/slc40a1/atp1a3a/rhag/asph/herpud1/slc39a14/apoeb/atp7b/slc39a9/slc4a1a/dmxl2/adck1/stab2/aspscr1/npc1/anxa6/bdh2/wnt5b/slc41a1/scgn/fthl27/itpr1b/nr1h3/abcb7/micu1/slc12a3/fhl1b/slc4a11/ormdl1/apobb.1/slc30a7/lipca/si:ch73-390b10.2/atp7a/mcur1/wnk1b,95
BP,GO:0044272,sulfur compound biosynthetic process,30/3314,107/18773,0.280373832,1.588249229,2.82532525,0.005166387,0.098767279,0.086609989,hs6st2/chst7/cbsb/aclya/pank1b/csad/pdk2a/papss2b/elovl6/gclm/chpfa/dlat/pdk4/mthfr/mat2ab/cth/xylt2/mlycd/ndst2a/pdk1/pxylp1/tpk1/bhmt/acss2/acacb/gcdha/xylt1/mtr/gss/enoph1,30
CC,GO:0005840,ribosome,45/3396,177/19331,0.254237288,1.447191112,2.759140328,0.005320481,0.057959282,0.050047078,rps27.1/mrpl49/rpl5a/mrpl43/ptcd3/mrps27/nsun4/mrpl39/mrps7/dap3/mrpl27/mrpl30/rps19/mrpl10/mrps17/mrps16/mrps11/mrpl33/mrpl44/mrpl1/mrpl20/mrps35/mrpl22/mrpl40/rpl7l1/rpl37/mrpl18/mrps14/mrps30/mrps31/rps26/rplp1/mrps24/mrps6/mrps22/rps6/mrpl53/mrpl51/mrps9/mrpl52/mrpl58/mrps15/mrpl34/rpl34/rps3,45
BP,GO:0019318,hexose metabolic process,27/3314,94/18773,0.287234043,1.627110646,2.82209816,0.005432543,0.102626054,0.089993787,nr4a1/pfkfb3/prkag2b/dcxr/pdk2a/hk1/pck1/g6pd/slc38a9/fbp2/pfkfb1/pdk4/hkdc1/hk2/cyp2r1/glb1l/g6pc1a.1/gpia/pfkpa/pmm2/galt/pdk1/h6pd/pgk1/khk/man2a2/fbp1a,27
BP,GO:0006399,tRNA metabolic process,43/3314,167/18773,0.25748503,1.458589761,2.756112287,0.005434509,0.102626054,0.089993787,wars2/kars1/ssb/qng1/thumpd3/nars2/zbtb8os/exosc2/aarsd1/thg1l/adat1/trpt1/thumpd1/trmt1l/yars2/elp1/rpusd4/nsun2/elp3/exosc8/exosc7/wdr6/kti12/pop5/trmt6/qtrt2/pars2/rpp38/mars2/tprkb/rpp14/trnt1/qrsl1/adat3/tarbp1/nat10/trmt10c/polr3d/pus3/tars1/elac2/zgc:171971/gatb,43
MF,GO:0016722,"oxidoreductase activity, acting on metal ions",7/3228,14/18430,0.5,2.854708798,3.198964206,0.005460181,0.096054022,0.084631563,cp/cyb561d2/steap3/steap4/steap2/mmachc/hephl1b,7
BP,GO:0040007,growth,92/3314,406/18773,0.226600985,1.283639196,2.675167476,0.005542054,0.103635132,0.090878657,junbb/klf6a/ulk2/asah1b/osgn1/dclk1b/cbsb/col1a1a/ppp2r3a/hbegfa/pard3ab/cdkn2aip/vangl2/cacna1c/foxm1/fgf1a/supv3l1/esco2/ntn1a/stat5a/atp6v1e1b/itga3b/gpc4/igf2b/myo5b/mrap2a/cebpd/mapk14a/hmmr/dcaf13/ttk/acvr1ba/lats1/apoda.2/axin1/apobec2a/jag1b/hdac1/sdcbp2/cldn3d/nipblb/tnfrsf1a/tubb5/hspa8/plcg1/utp25/tsku/acanb/akap12b/rap1b/cdh2/tgif1/lats2/npr1a/impact/smn1/serpinh1b/lrrc17/notch1b/wnt5b/fcho1/ist1/pou5f3/appb/lrp5/l1cama/nos1/kif15/lgmn/ctnnd1/dspb/slit3/dvl2/gemin5/dcc/clns1a/sh3bp4a/sirt1/erbb3b/pik3ca/ctsba/myo10l1/sar1b/ret/itga5/tax1bp3/plk4/myo10l3/ezh2/doc2a/smad2/cdh5,92
BP,GO:0019693,ribose phosphate metabolic process,51/3314,205/18773,0.248780488,1.409280657,2.728075674,0.00555487,0.103635132,0.090878657,ampd2b/enpp1/pde4ca/prkag2b/adka/aprt/pde4bb/gucy1a2/gart/papss2b/hk1/prps1b/atp5mea/slc38a9/atp6v1ba/nudt2/prpsap2/atpsckmt/atp6v1ab/pkma/umps/exosc2/impdh1b/nt5c2b/nudt5/atp5pf/rfk/eno1a/adcy6a/ak2/hkdc1/hk2/nudt3b/adcy5/paics/npr1a/uck1/gpia/npr1b/pfkpa/dhodh/atp5pd/pgk1/hprt1/si:dkey-219c10.4/aldoaa/ctps1a/dhtkd1/impdh1a/nudt4a/ampd3a,51
MF,GO:0004721,phosphoprotein phosphatase activity,49/3228,197/18430,0.248730964,1.420108945,2.731701618,0.005570272,0.096054022,0.084631563,dusp5/dusp2/dusp22a/pptc7b/dusp8a/ptprb/tns3.2/ppm1la/si:ch211-15p9.2/pptc7a/dusp1/ssh2a/pdp1/dusp13a/dusp4/ppm1db/ssh1a/ctdsp1/cdc25b/ptpn22/ssh2b/ppm1ka/ppp1cc/ctdspl2a/ppp1r1b/tns2a/tns1b/phlpp1/ctdsp2/ssu72/ppp2caa/ptprea/timm50/ptpn2b/mtmr3/ptprz1b/ptprk/ptprt/dusp16/ppp1r2/ptprfb/dusp11/si:dkey-51e6.1/ptpn11b/tab1/ptprc/dusp19b/ppm1bb/tns1a,49
BP,GO:0001702,gastrulation with mouth forming second,20/3314,64/18773,0.3125,1.770236119,2.857784039,0.005689305,0.104455364,0.091597926,epcam/cyth1a/gpc4/sdc3/gdf3/megf8/cdk5rap3/cldne/sdcbp2/ltb4r/cdh1/npc1/rnf111/apoa2/pou5f3/arhgef7b/eomesa/rhov/diaph2/sdc2,20
CC,GO:0061695,"transferase complex, transferring phosphorus-containing groups",52/3396,211/19331,0.246445498,1.40283802,2.716135738,0.005702203,0.060823504,0.052520295,pold1/prkacab/las1l/prkag2b/prkacbb/ccni2/ccnb1/cdkn1a/ccne1/cks1b/polr1h/ikbkg/polr1e/pik3r5/dbf4/prkar2aa/polr3glb/polr3f/ccnb2/pik3r1/ccna2/ccnt2a/pik3r6b/acvr1ba/polr1d/cks2/si:dkey-219c3.2/znfx1/rtf1/polr2d/pfkfb1/ccnf/polr2g/polr2a/atg101/polr1a/ccnb3/pold2/taf5l/prim2/pfkpa/ccnd2a/taf3/si:ch211-140b10.6/polr3d/taf4a/taf10/zgc:171971/ccne2/pola1/tert/polr3k,52
BP,GO:0009070,serine family amino acid biosynthetic process,7/3314,14/18773,0.5,2.832377791,3.175521239,0.005713244,0.104455364,0.091597926,agxtb/agxta/tha1/cbsb/psph/sephs3/cth,7
BP,GO:0120305,regulation of pigmentation,7/3314,14/18773,0.5,2.832377791,3.175521239,0.005713244,0.104455364,0.091597926,ednrba/nnt/ctns/sulf1/csf1ra/bmp7b/h2az2a,7
BP,GO:1902806,regulation of cell cycle G1/S phase transition,11/3314,28/18773,0.392857143,2.225439693,3.00447824,0.005733746,0.104455364,0.091597926,plk3/cdkn1a/ccne1/dlg1b/waca/e2f7/ccnd2a/psme3/ccne2/psme2/rb1,11
MF,GO:0016769,"transferase activity, transferring nitrogenous groups",12/3228,32/18430,0.375,2.141031599,2.976834137,0.005765496,0.096054022,0.084631563,agxtb/agxta/gfpt1/si:ch211-217a12.1/aadat/gfpt2/kyat3.2/agxt2/tat/amt/got2a/got1,12
