ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0120035,regulation of plasma membrane bounded cell projection organization,18/678,253/21022,0.071146245,2.205953339,3.522948797,0.001509454,0.07865688,0.072756209,camk2g1/rtn4ip1/plxnb2b/twf1b/dbn1/tapt1b/ddr2a/tncb/abcc4/reep1/nedd4l/pard3ab/camk2g2/mycbp2/ddr2b/dbnlb/twf2b/rbpms2b,18
BP,GO:0007033,vacuole organization,12/678,136/21022,0.088235294,2.73581468,3.707392215,0.001528312,0.07865688,0.072756209,ubxn2a/vps16/rab3gap1/rab1aa/si:dkey-28b4.8/atg16l1/rab14/aktip/vps4a/atg4b/wdr45/atg9b,12
BP,GO:0016241,regulation of macroautophagy,5/678,27/21022,0.185185185,5.741833279,4.500840081,0.00153923,0.07865688,0.072756209,rab3gap1/rubcn/fyco1a/clec16a/wdr45,5
BP,GO:0022604,regulation of cell morphogenesis,10/678,101/21022,0.099009901,3.06989106,3.806626927,0.001566019,0.07865688,0.072756209,fermt2/plxnb2b/dbn1/parvb/camsap1b/git2a/ppp1r12a/pard3ab/stat3/dbnlb,10
BP,GO:0031344,regulation of cell projection organization,18/678,256/21022,0.0703125,2.180102323,3.468059841,0.001720259,0.084483814,0.078146019,camk2g1/rtn4ip1/plxnb2b/twf1b/dbn1/tapt1b/ddr2a/tncb/abcc4/reep1/nedd4l/pard3ab/camk2g2/mycbp2/ddr2b/dbnlb/twf2b/rbpms2b,18
BP,GO:0048892,lateral line nerve development,4/678,17/21022,0.235294118,7.295505813,4.740423108,0.001825191,0.087688528,0.081110322,gna13a/erbb3b/kif1b/mib1,4
BP,GO:0060538,skeletal muscle organ development,15/678,199/21022,0.075376884,2.337128118,3.459802194,0.002077113,0.097668483,0.090341602,lama4/ttn.2/unc45b/nfixa/smo/myo18ab/postnb/pleca/hspg2/pbx4/ttn.1/myot/dmd/sox6/myl1,15
BP,GO:0007044,cell-substrate junction assembly,4/678,18/21022,0.222222222,6.890199934,4.563926522,0.00228733,0.101418739,0.093810522,macf1a/vegfaa/llgl2/pleca,4
BP,GO:0150115,cell-substrate junction organization,4/678,18/21022,0.222222222,6.890199934,4.563926522,0.00228733,0.101418739,0.093810522,macf1a/vegfaa/llgl2/pleca,4
BP,GO:0019395,fatty acid oxidation,7/678,57/21022,0.122807018,3.807742069,3.874989795,0.002294542,0.101418739,0.093810522,zgc:85777/acox3/decr1/ech1/acaa1/abcd1/phyh,7
BP,GO:0019216,regulation of lipid metabolic process,9/678,91/21022,0.098901099,3.066517553,3.606518509,0.002666931,0.111985582,0.103584663,tlcd3ba/tle3a/kdm1a/apc/stat5a/ppardb/pdk2a/dnajc19/prkaa1,9
BP,GO:0008015,blood circulation,21/678,332/21022,0.063253012,1.961216548,3.222800295,0.002724629,0.111985582,0.103584663,bin1b/enpep/trdn/tjp1b/smyd2b/parvb/ttn.2/lrrc39/ogdhb/mybpc3/si:dkey-28b4.8/alpk2/vegfaa/fbxo32/tjp2a/tnni2a.4/myot/tmem161b/rbpms2b/si:ch211-266g18.10/vcla,21
BP,GO:0051293,establishment of spindle localization,6/678,44/21022,0.136363636,4.228077233,3.913015552,0.002736299,0.111985582,0.103584663,ift88/scrib/pafah1b1b/llgl2/diaph2/clasp2,6
BP,GO:0051653,spindle localization,6/678,44/21022,0.136363636,4.228077233,3.913015552,0.002736299,0.111985582,0.103584663,ift88/scrib/pafah1b1b/llgl2/diaph2/clasp2,6
BP,GO:1901879,regulation of protein depolymerization,8/678,75/21022,0.106666667,3.307295969,3.654234235,0.002829953,0.113712648,0.105182169,twf1b/svila/apc/camsap2a/add3a/lmod2b/svilc/twf2b,8
BP,GO:0043484,regulation of RNA splicing,11/678,128/21022,0.0859375,2.664569506,3.448414665,0.002907349,0.114736453,0.10612917,mbnl2/cirbpb/celf2/ythdc1/hnrnph3/clk2a/mbnl1/znf638/ybx1/ptbp2b/hnrpkl,11
BP,GO:0031034,myosin filament assembly,3/678,10/21022,0.3,9.301769912,4.793584152,0.003382473,0.122823538,0.113609579,mef2d/ttn.2/ttn.1,3
BP,GO:0061550,cranial ganglion development,3/678,10/21022,0.3,9.301769912,4.793584152,0.003382473,0.122823538,0.113609579,oxr1b/kif1b/mib1,3
BP,GO:0071688,striated muscle myosin thick filament assembly,3/678,10/21022,0.3,9.301769912,4.793584152,0.003382473,0.122823538,0.113609579,mef2d/ttn.2/ttn.1,3
BP,GO:0005977,glycogen metabolic process,7/678,61/21022,0.114754098,3.558054065,3.652514906,0.003390152,0.122823538,0.113609579,phka1a/ppp1r3ab/khk/gyg1b/gbe1b/wdr45/agla,7
BP,GO:0044042,glucan metabolic process,7/678,61/21022,0.114754098,3.558054065,3.652514906,0.003390152,0.122823538,0.113609579,phka1a/ppp1r3ab/khk/gyg1b/gbe1b/wdr45/agla,7
BP,GO:0097581,lamellipodium organization,5/678,33/21022,0.151515152,4.697863592,3.880925825,0.003859648,0.137577769,0.127256979,twf1b/parvb/ablim1b/arhgef6/twf2b,5
BP,GO:0003013,circulatory system process,21/678,343/21022,0.06122449,1.89832039,3.062223678,0.003978088,0.139548785,0.129080133,bin1b/enpep/trdn/tjp1b/smyd2b/parvb/ttn.2/lrrc39/ogdhb/mybpc3/si:dkey-28b4.8/alpk2/vegfaa/fbxo32/tjp2a/tnni2a.4/myot/tmem161b/rbpms2b/si:ch211-266g18.10/vcla,21
BP,GO:0008045,motor neuron axon guidance,7/678,63/21022,0.111111111,3.445099967,3.548174539,0.004068598,0.140493778,0.129954236,hif1ab/sema3aa/vegfaa/ppp1r12a/reep1/kif1b/stat3,7
BP,GO:0048844,artery morphogenesis,4/678,21/21022,0.19047619,5.905885658,4.106108691,0.004143605,0.140882568,0.130313859,sema3aa/vegfaa/smo/calcrla,4
BP,GO:0048925,lateral line system development,13/678,174/21022,0.074712644,2.316532737,3.183445704,0.00431547,0.144502855,0.13366256,eya4/scrib/apc/llgl2/gna13a/erbb3b/col17a1b/kif1b/stat3/yap1/mib1/eif3ha/setb,13
BP,GO:0002138,retinoic acid biosynthetic process,3/678,11/21022,0.272727273,8.456154465,4.515556047,0.004540164,0.14755532,0.136486036,tle3a/kdm1a/apc,3
BP,GO:0016203,muscle attachment,3/678,11/21022,0.272727273,8.456154465,4.515556047,0.004540164,0.14755532,0.136486036,lama4/postnb/dmd,3
BP,GO:1902903,regulation of supramolecular fiber organization,15/678,217/21022,0.069124424,2.143264957,3.090411121,0.004704752,0.149460572,0.13824836,twf1b/dbn1/neb/svila/camsap1b/apc/camsap2a/add3a/lmod2b/svilc/colgalt1b/clasp2/tesk1b/dbnlb/twf2b,15
BP,GO:0034440,lipid oxidation,7/678,65/21022,0.107692308,3.339096891,3.447971702,0.004845152,0.149460572,0.13824836,zgc:85777/acox3/decr1/ech1/acaa1/abcd1/phyh,7
BP,GO:0016482,cytosolic transport,8/678,82/21022,0.097560976,3.024965825,3.35397364,0.004916034,0.149460572,0.13824836,rab41/washc2c/dennd5a/rab14/vps50/vps54/dop1a/kif1b,8
BP,GO:0072329,monocarboxylic acid catabolic process,8/678,82/21022,0.097560976,3.024965825,3.35397364,0.004916034,0.149460572,0.13824836,zgc:85777/acox3/fah/decr1/ech1/acaa1/abcd1/phyh,8
BP,GO:0002098,tRNA wobble uridine modification,4/678,22/21022,0.181818182,5.63743631,3.972857708,0.004936933,0.149460572,0.13824836,kti12/urm1/elp1/gtpbp3,4
BP,GO:0006635,fatty acid beta-oxidation,6/678,50/21022,0.12,3.720707965,3.516174055,0.005235602,0.151337859,0.139984816,zgc:85777/acox3/decr1/ech1/acaa1/abcd1,6
BP,GO:0048645,animal organ formation,6/678,50/21022,0.12,3.720707965,3.516174055,0.005235602,0.151337859,0.139984816,mef2d/vegfaa/gna13a/invs/yap1/mef2cb,6
BP,GO:0006112,energy reserve metabolic process,7/678,66/21022,0.106060606,3.288504514,3.399326703,0.005272858,0.151337859,0.139984816,phka1a/ppp1r3ab/khk/gyg1b/gbe1b/wdr45/agla,7
BP,GO:0045446,endothelial cell differentiation,7/678,66/21022,0.106060606,3.288504514,3.399326703,0.005272858,0.151337859,0.139984816,lama4/tjp1b/kdr/smo/tjp2a/ezh1/mib1,7
BP,GO:0048675,axon extension,9/678,101/21022,0.089108911,2.762901954,3.242059535,0.005357194,0.151787175,0.140400426,dbn1/myo10l1/tncb/katna1/kif1b/mycbp2/grnb/fus/dbnlb,9
BP,GO:0040001,establishment of mitotic spindle localization,5/678,36/21022,0.138888889,4.306374959,3.624614961,0.005663865,0.155159816,0.143520059,ift88/scrib/pafah1b1b/diaph2/clasp2,5
BP,GO:0051016,barbed-end actin filament capping,5/678,36/21022,0.138888889,4.306374959,3.624614961,0.005663865,0.155159816,0.143520059,twf1b/svila/add3a/svilc/twf2b,5
BP,GO:0003158,endothelium development,8/678,84/21022,0.095238095,2.952942829,3.274047189,0.005686853,0.155159816,0.143520059,lama4/tjp1b/kdr/smo/pard3ab/tjp2a/ezh1/mib1,8
BP,GO:0016102,diterpenoid biosynthetic process,3/678,12/21022,0.25,7.751474926,4.270705412,0.005909662,0.159272608,0.147324318,tle3a/kdm1a/apc,3
BP,GO:0000045,autophagosome assembly,8/678,85/21022,0.094117647,2.918202325,3.234968148,0.006105155,0.162558934,0.15036411,ubxn2a/rab3gap1/rab1aa/si:dkey-28b4.8/atg16l1/atg4b/wdr45/atg9b,8
BP,GO:0007519,skeletal muscle tissue development,13/678,182/21022,0.071428571,2.214707122,3.004566176,0.006268055,0.16490954,0.152538379,ttn.2/unc45b/nfixa/smo/myo18ab/pleca/hspg2/pbx4/ttn.1/myot/dmd/sox6/myl1,13
BP,GO:0051261,protein depolymerization,9/678,104/21022,0.086538462,2.683202859,3.141350601,0.006476946,0.165127342,0.152739842,twf1b/svila/apc/camsap2a/add3a/lmod2b/svilc/twf2b/gak,9
BP,GO:0050684,regulation of mRNA processing,8/678,86/21022,0.093023256,2.88426974,3.19645654,0.006546409,0.165127342,0.152739842,cirbpb/celf2/ythdc1/ybx1/srpk1a/si:ch211-220i18.4/hnrpkl/srpk1a,8
BP,GO:0060560,developmental growth involved in morphogenesis,14/678,204/21022,0.068627451,2.127855862,2.955102452,0.006590784,0.165127342,0.152739842,dbn1/myo10l1/tncb/katna1/ppp1r12a/gna13a/pard3ab/kif1b/mycbp2/grnb/stat3/fus/smad2/dbnlb,14
BP,GO:0002097,tRNA wobble base modification,4/678,24/21022,0.166666667,5.167649951,3.72933373,0.006815697,0.165127342,0.152739842,kti12/urm1/elp1/gtpbp3,4
BP,GO:0048915,posterior lateral line system development,9/678,105/21022,0.085714286,2.657648546,3.108570833,0.006887546,0.165127342,0.152739842,eya4/apc/llgl2/gna13a/erbb3b/kif1b/stat3/yap1/mib1,9
BP,GO:0030705,cytoskeleton-dependent intracellular transport,10/678,124/21022,0.080645161,2.500475783,3.059220846,0.006904031,0.165127342,0.152739842,synj1/ift88/pafah1b1b/ccdc186/kif13a/rhot1a/fyco1a/ccdc88c/kif1b/stau2,10
BP,GO:0006886,intracellular protein transport,26/678,478/21022,0.054393305,1.686513373,2.771684583,0.00694565,0.165127342,0.152739842,sec24c/snx11/cog7/desi1a/scfd1/snx17/vps16/ranbp2/uhmk1/lonp2/scrib/rab41/napab/gga1/tnpo2a/cltcb/rab1aa/kif13a/mon1bb/kpnb1/ramp1/rab14/vps13d/appbp2/ipo13b/xpo4,26
BP,GO:0050920,regulation of chemotaxis,6/678,53/21022,0.113207547,3.510101853,3.340133143,0.006975342,0.165127342,0.152739842,vegfab/vegfaa/reep1/mycbp2/rbpms2b/oxsr1a,6
BP,GO:1905037,autophagosome organization,8/678,87/21022,0.091954023,2.851117214,3.158496665,0.007011389,0.165127342,0.152739842,ubxn2a/rab3gap1/rab1aa/si:dkey-28b4.8/atg16l1/atg4b/wdr45/atg9b,8
BP,GO:0016049,cell growth,12/678,164/21022,0.073170732,2.268724369,2.977667724,0.007023516,0.165127342,0.152739842,dbn1/sh3bp4a/myo10l1/tncb/katna1/gna13a/pard3ab/kif1b/mycbp2/grnb/fus/dbnlb,12
BP,GO:0006654,phosphatidic acid biosynthetic process,3/678,13/21022,0.230769231,7.155207624,4.052612242,0.007500262,0.169138571,0.156450157,pld2/agpat2/dgkaa,3
BP,GO:0034453,microtubule anchoring,3/678,13/21022,0.230769231,7.155207624,4.052612242,0.007500262,0.169138571,0.156450157,cep350/zgc:162200/clasp2,3
BP,GO:0046473,phosphatidic acid metabolic process,3/678,13/21022,0.230769231,7.155207624,4.052612242,0.007500262,0.169138571,0.156450157,pld2/agpat2/dgkaa,3
BP,GO:1902667,regulation of axon guidance,3/678,13/21022,0.230769231,7.155207624,4.052612242,0.007500262,0.169138571,0.156450157,reep1/mycbp2/rbpms2b,3
BP,GO:0001738,morphogenesis of a polarized epithelium,4/678,25/21022,0.16,4.960943953,3.617540791,0.007910428,0.173672102,0.160643593,scrib/invs/nphp1/stat3,4
BP,GO:0010565,regulation of cellular ketone metabolic process,5/678,39/21022,0.128205128,3.975115347,3.394889796,0.007993029,0.173672102,0.160643593,tle3a/kdm1a/apc/ppardb/pdk2a,5
BP,GO:0060914,heart formation,5/678,39/21022,0.128205128,3.975115347,3.394889796,0.007993029,0.173672102,0.160643593,mef2d/vegfaa/gna13a/yap1/mef2cb,5
BP,GO:1902904,negative regulation of supramolecular fiber organization,8/678,89/21022,0.08988764,2.787047164,3.08417236,0.008015635,0.173672102,0.160643593,twf1b/svila/apc/camsap2a/add3a/lmod2b/svilc/twf2b,8
BP,GO:0032787,monocarboxylic acid metabolic process,22/678,389/21022,0.05655527,1.753547027,2.738591979,0.008100853,0.173814415,0.16077523,tle3a/zgc:85777/kdm1a/acbd5a/acsl1a/acox3/tecrb/fah/decr1/apc/ech1/acaa1/abcd1/hacd2/phyh/hagh/ppardb/pdk2a/acacb/acsbg2/aldocb/hk1,22
BP,GO:0010506,regulation of autophagy,9/678,108/21022,0.083333333,2.583824975,3.01247792,0.008239596,0.175091412,0.161956429,rab3gap1/sh3bp4a/rubcn/fyco1a/clec16a/ulk1a/usp13/mtmr14/wdr45,9
BP,GO:0048881,mechanosensory lateral line system development,9/678,109/21022,0.082568807,2.560120159,2.981168257,0.008732334,0.178257193,0.16488472,eya4/apc/llgl2/gna13a/erbb3b/kif1b/stat3/yap1/mib1,9
BP,GO:0000245,spliceosomal complex assembly,5/678,40/21022,0.125,3.875737463,3.323373472,0.00889792,0.178257193,0.16488472,celf2/u2af2b/srpk1a/si:ch211-220i18.4/srpk1a,5
BP,GO:0051693,actin filament capping,6/678,56/21022,0.107142857,3.322060683,3.176385079,0.009099098,0.178257193,0.16488472,twf1b/svila/add3a/lmod2b/svilc/twf2b,6
BP,GO:0009062,fatty acid catabolic process,7/678,73/21022,0.095890411,2.973168465,3.082955862,0.009102664,0.178257193,0.16488472,zgc:85777/acox3/decr1/ech1/acaa1/abcd1/phyh,7
