ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
MF,GO:0016765,"transferase activity, transferring alkyl or aryl (other than methyl) groups",8/613,64/18430,0.125,3.758156607,4.099826241,0.001227518,0.066397541,0.063666461,nus1/pdss1/gstt1a/dhdds/gstz1/dhps/gstr/gstt2,8
BP,GO:0043604,amide biosynthetic process,11/622,113/18773,0.097345133,2.93803887,3.825128875,0.001321977,0.080126518,0.073868385,pdk2a/acss2/acaca/b4galt5/smpd5/sgms2a/aclya/cers1/cers6/gss/aanat1,11
BP,GO:0003309,type B pancreatic cell differentiation,6/622,38/18773,0.157894737,4.765527162,4.301212715,0.001443727,0.083246695,0.076744867,gck/c2cd4a/srebf1/rfx6/dhps/bhmt,6
BP,GO:0002068,glandular epithelial cell development,5/622,26/18773,0.192307692,5.804167697,4.537734999,0.001449759,0.083246695,0.076744867,gck/c2cd4a/srebf1/dhps/bhmt,5
BP,GO:0043408,regulation of MAPK cascade,17/622,227/18773,0.074889868,2.260301429,3.536408424,0.001537854,0.086040941,0.079320874,dusp2/dusp5/dusp8a/adrb2a/dusp1/cd4-1/spry4/smarca4a/dusp16/avpi1/dusp4/stk40/arrb2b/cd74a/bcar3/map2k6/ankrd6b,17
MF,GO:0042813,Wnt receptor activity,4/613,16/18430,0.25,7.516313214,4.836728448,0.001602898,0.079477017,0.076207949,nid1a/fzd5/fzd8a/fzd9b,4
BP,GO:0006595,polyamine metabolic process,4/622,17/18773,0.235294118,7.101569888,4.659036636,0.002013021,0.104847204,0.096658308,odc1/amd1/dhps/sat1a.2,4
BP,GO:0002066,columnar/cuboidal epithelial cell development,5/622,28/18773,0.178571429,5.38958429,4.302886325,0.002050996,0.104847204,0.096658308,gck/c2cd4a/srebf1/dhps/bhmt,5
BP,GO:0009968,negative regulation of signal transduction,28/622,470/18773,0.059574468,1.798057057,3.243559866,0.00211936,0.104847204,0.096658308,ddit4/tcima/dusp2/dusp5/socs1a/axin2/socs3b/dusp8a/insig1/dusp1/sox4a/fzd5/rargb/arhgap29a/spry4/dusp16/tnfaip3/dusp4/dlc/arrb2b/mdm2/tank/cd74a/tmem88b/rasip1/tle3b/bcl6aa/ankrd6b,28
BP,GO:0030855,epithelial cell differentiation,20/622,296/18773,0.067567568,2.039302164,3.336354151,0.002147495,0.104847204,0.096658308,gpr156/irf7/nr2f2/gck/mvda/c2cd4a/amotl2a/dlc/etv5a/srebf1/prox1a/etsrp/rfx6/fbn2b/dhps/ezrb/med24/coq8b/tbx2b/bhmt,20
BP,GO:0002067,glandular epithelial cell differentiation,6/622,41/18773,0.146341463,4.416830053,4.054370365,0.002162293,0.104847204,0.096658308,gck/c2cd4a/srebf1/rfx6/dhps/bhmt,6
BP,GO:0035883,enteroendocrine cell differentiation,6/622,41/18773,0.146341463,4.416830053,4.054370365,0.002162293,0.104847204,0.096658308,gck/c2cd4a/srebf1/rfx6/dhps/bhmt,6
BP,GO:1904888,cranial skeletal system development,18/622,256/18773,0.0703125,2.122148814,3.346457478,0.002283946,0.108338474,0.099876899,egr1/hmgcs1/nr2f2/her6/hspg2/polr1a/spns2/smarca4a/nolc1/tnfaip3/crispld2/nr2f5/bmp2b/bptf/wls/tbx1/edn1/usp36,18
CC,GO:0044391,ribosomal subunit,12/631,141/19331,0.085106383,2.607276528,3.518620875,0.002284683,0.155037905,0.151959623,rplp1/mrps16/dap3/rpl37/rpl34/rps5/rpl27/rpl6/rpl36/rps19/rps26/rpl14,12
BP,GO:0006633,fatty acid biosynthetic process,8/622,71/18773,0.112676056,3.400751778,3.751738792,0.002353672,0.109270478,0.100736111,lipg/acsbg2/elovl8b/elovl6l/ptgs2b/hsd17b12a/acaca/aclya,8
BP,GO:0009620,response to fungus,5/622,29/18773,0.172413793,5.203736556,4.193759674,0.002411661,0.109630068,0.101067615,nsdhl/hspa5/cyp51/mcm4/sc5d,5
