ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
CC,GO:0032040,small-subunit processome,5/745,43/19331,0.11627907,3.017168722,2.651147869,0.024098722,0.30103852,0.287068425,wdr75/nop58/rps15a/utp20/si:dkey-251i10.3,5
BP,GO:0071375,cellular response to peptide hormone stimulus,7/726,74/18773,0.094594595,2.446039014,2.499814331,0.024106113,0.435813123,0.420857368,nr4a1/nr4a3/znf106a/pik3r3b/cyp11c1/rps6kb1b/gsk3ba,7
BP,GO:0002011,morphogenesis of an epithelial sheet,9/726,108/18773,0.083333333,2.154843893,2.414027631,0.024126737,0.435813123,0.420857368,epcam/cldne/sox4b/grhl3/cdh1/diaph2/dsc2l/sox11a/rhoab,9
BP,GO:0051084,'de novo' post-translational protein folding,4/726,29/18773,0.137931034,3.566638169,2.774301032,0.024437044,0.437942622,0.422913789,hsp70.3/hspa5/dnajb1b/dnajb4,4
MF,GO:0140303,intramembrane lipid transporter activity,4/715,29/18430,0.137931034,3.555341211,2.766690079,0.024687303,0.541134604,0.522985542,atp10b/atp8b1/abca1a/abca1b,4
MF,GO:0140993,histone modifying activity,11/715,144/18430,0.076388889,1.969017094,2.345236552,0.024693887,0.541134604,0.522985542,hdac9b/dot1l/kdm7ab/ash1l/ezh2/hdac4/kdm6ba/sirt5/nsd1a/prdm2b/baz1b,11
CC,GO:0045111,intermediate filament cytoskeleton,7/745,75/19331,0.093333333,2.421780761,2.469911107,0.025321814,0.30103852,0.287068425,ppl/krt92/krt4/krt97/si:dkey-222f2.1/evpla/macf1a,7
BP,GO:0031507,heterochromatin formation,7/726,75/18773,0.093333333,2.413425161,2.459953773,0.025734007,0.457582809,0.441879986,dot1l/ezh2/mbd3b/znfx1/nsd1a/baz1a/prdm14,7
CC,GO:0005833,hemoglobin complex,3/745,17/19331,0.176470588,4.578997236,2.955635044,0.025895787,0.30103852,0.287068425,si:ch211-5k11.8/hbae1.2/hbbe2,3
CC,GO:0070971,endoplasmic reticulum exit site,3/745,17/19331,0.176470588,4.578997236,2.955635044,0.025895787,0.30103852,0.287068425,sec23b/mia3/sec24c,3
BP,GO:0048514,blood vessel morphogenesis,26/726,448/18773,0.058035714,1.500694854,2.151350726,0.026454801,0.466752921,0.450735408,rps29/egfl7/hdac9b/vegfaa/vegfab/angptl4/sox18/etsrp/aplnrb/cxcr4a/hlx1/cxcl8a/sulf1/tp53/amot/amotl2a/notch3/abca1a/wnk1a/plekhg5b/egfra/fbn2b/rab11a/rin2a/gsk3ba/sytl2a,26
BP,GO:0015918,sterol transport,5/726,44/18773,0.113636364,2.938423491,2.581896219,0.02669545,0.467375729,0.451336843,zdhhc8b/gramd1c/apoeb/stab2/abca1a,5
MF,GO:0020037,heme binding,12/715,165/18430,0.072727273,1.874634456,2.267211542,0.027389663,0.541134604,0.522985542,soul2/ptgis/mpx/cyp24a1/cyp4v2a/cyp2x9/si:ch211-5k11.8/fa2h/cyp11c1/hbae1.2/hbbe2/cyp2y3,12
MF,GO:0004867,serine-type endopeptidase inhibitor activity,8/715,93/18430,0.086021505,2.217309572,2.364349618,0.027953358,0.541134604,0.522985542,a2ml/spint1a/serpinb1l1/serpinh1b/c3b.1/itih2/spint1b/serpinc1,8
BP,GO:0010927,cellular component assembly involved in morphogenesis,10/726,129/18773,0.07751938,2.004505947,2.296142803,0.028157076,0.485296722,0.468642843,hsp90aa1.1/unc45b/cxcr4a/actn2b/ttn.2/flncb/ppp2r3a/myo18ab/lmod2b/vcp,10
BP,GO:0032989,cellular anatomical entity morphogenesis,10/726,129/18773,0.07751938,2.004505947,2.296142803,0.028157076,0.485296722,0.468642843,hsp90aa1.1/unc45b/cxcr4a/actn2b/ttn.2/flncb/ppp2r3a/myo18ab/lmod2b/vcp,10
BP,GO:0048593,camera-type eye morphogenesis,14/726,205/18773,0.068292683,1.765920849,2.211563087,0.028569743,0.485296722,0.468642843,hsp70.3/egr1/bcor/toporsa/znf703/sox4b/grna/thrb/ccnd1/cdipt/sox11a/cdh6/six3b/znf503,14
MF,GO:0031267,small GTPase binding,10/715,129/18430,0.07751938,1.998156882,2.285543953,0.028682615,0.541134604,0.522985542,daam2/diaph2/rock2a/pkn1a/gga1/fam49ba/golga4/rin2a/rab11fip1a/sytl2a,10
BP,GO:0045596,negative regulation of cell differentiation,8/726,94/18773,0.085106383,2.200691636,2.34066723,0.029088036,0.485296722,0.468642843,her9/her6/tent5c/f2r/daam2/notch3/irf2bp2b/nog2,8
BP,GO:0090287,regulation of cellular response to growth factor stimulus,12/726,167/18773,0.071856287,1.858068986,2.233958013,0.02909302,0.485296722,0.468642843,spry4/znf703/skila/smad9/tgif1/tsc22d3/fsta/sulf1/rbms3/churc1/rin2a/nog2,12
BP,GO:1902475,L-alpha-amino acid transmembrane transport,5/726,45/18773,0.111111111,2.873125191,2.523181171,0.02910954,0.485296722,0.468642843,slc38a2/slc25a55a/slc25a15b/slc25a29/slc25a12,5
CC,GO:0005743,mitochondrial inner membrane,17/745,266/19331,0.063909774,1.658308523,2.164477065,0.02919202,0.329073683,0.313802579,slc25a47a/rpl37/atp5f1e/slc25a55a/atp5meb/cox6c/pam16/cox7b/slc25a25a/atp5mea/ndufb3/tmem65/coq10b/cyp11c1/cox7c/slc25a12/timm8b,17
BP,GO:0001754,eye photoreceptor cell differentiation,7/726,77/18773,0.090909091,2.350738793,2.382119036,0.029211622,0.485296722,0.468642843,odc1/her9/grna/thrb/dhdds/cdipt/sox11a,7
MF,GO:0016538,cyclin-dependent protein serine/threonine kinase regulator activity,5/715,45/18430,0.111111111,2.864024864,2.515124388,0.029453377,0.541134604,0.522985542,ccnf/hexim1/cdkn1d/ccnd1/si:dkeyp-92c9.2,5
BP,GO:0035904,aorta development,3/726,18/18773,0.166666667,4.309687787,2.817642048,0.030472928,0.488549786,0.471784272,vegfaa/amotl2a/notch3,3
BP,GO:0043270,positive regulation of monoatomic ion transport,3/726,18/18773,0.166666667,4.309687787,2.817642048,0.030472928,0.488549786,0.471784272,aplnrb/wnk1a/fxyd6l,3
BP,GO:0006458,'de novo' protein folding,4/726,31/18773,0.129032258,3.33653248,2.611354163,0.030480698,0.488549786,0.471784272,hsp70.3/hspa5/dnajb1b/dnajb4,4
BP,GO:0007586,digestion,4/726,31/18773,0.129032258,3.33653248,2.611354163,0.030480698,0.488549786,0.471784272,f11r.1/dot1l/tp53/cdipt,4
BP,GO:0099518,vesicle cytoskeletal trafficking,4/726,31/18773,0.129032258,3.33653248,2.611354163,0.030480698,0.488549786,0.471784272,si:ch211-235m3.5/trak1a/bicdl2l/bicdl2,4
CC,GO:0030139,endocytic vesicle,7/745,78/19331,0.08974359,2.328635347,2.353992068,0.030575705,0.334534181,0.319009674,rab8b/plekhg6/inpp5f/slc15a2/heatr5a/rab11a/rin2a,7
MF,GO:0046943,carboxylic acid transmembrane transporter activity,13/715,187/18430,0.069518717,1.791929995,2.186718073,0.030727262,0.541134604,0.522985542,slc38a2/slc25a55a/slc43a2b/mfsd2ab/slc25a15b/slc16a6b/slc6a8/slc38a4/si:ch211-251b21.1/slc25a29/slc6a11a/slc25a12/slc16a1b,13
BP,GO:0055001,muscle cell development,16/726,247/18773,0.064777328,1.675020354,2.141882238,0.031057735,0.490981399,0.47413244,hsp90aa1.1/unc45b/myod1/myog/spry4/cxcr4a/actn2b/myorg/ttn.2/flncb/ppp2r3a/col6a2/myo18ab/lmod2b/smpx/vcp,16
BP,GO:0001945,lymph vessel development,7/726,78/18773,0.08974359,2.320601116,2.344106292,0.031063849,0.490981399,0.47413244,hdac9b/junbb/sox18/etsrp/cxcr4a/stab2/junba,7
BP,GO:0051093,negative regulation of developmental process,11/726,150/18773,0.073333333,1.896262626,2.210432049,0.031425409,0.493270565,0.476343049,her9/her6/tent5c/f2r/daam2/tp53/wwc1/fignl2/notch3/irf2bp2b/nog2,11
MF,GO:0061135,endopeptidase regulator activity,10/715,131/18430,0.076335878,1.96765067,2.232923778,0.031440622,0.541134604,0.522985542,a2ml/spint1a/serpinb1l1/serpinh1b/cst14a.1/c3b.1/itih2/spint1b/cst3/serpinc1,10
MF,GO:0005342,organic acid transmembrane transporter activity,13/715,188/18430,0.069148936,1.782398453,2.166227223,0.031890447,0.541134604,0.522985542,slc38a2/slc25a55a/slc43a2b/mfsd2ab/slc25a15b/slc16a6b/slc6a8/slc38a4/si:ch211-251b21.1/slc25a29/slc6a11a/slc25a12/slc16a1b,13
BP,GO:0007517,muscle organ development,15/726,228/18773,0.065789474,1.701192547,2.136546603,0.032037715,0.49943725,0.482298112,hsp90aa1.1/unc45b/myod1/myog/spry4/bag3/lurap1/arrb2b/actn2b/myorg/ttn.2/col6a2/myo18ab/frg1/smpx,15
MF,GO:0043177,organic acid binding,8/715,96/18430,0.083333333,2.148018648,2.265631495,0.032953892,0.541134604,0.522985542,acox1/gprc6a/p4ha1b/si:ch211-5k11.8/si:dkey-238d18.5/egln3/gclc/hbbe2,8
BP,GO:0030198,extracellular matrix organization,13/726,190/18773,0.068421053,1.769240249,2.137479514,0.033590727,0.502779464,0.485525631,loxl5b/spint1a/serpinh1b/sulf1/p4ha1b/adamts9/ccdc80/ier3ip1/spint1b/col2a1a/col1a2/fras1/col10a1b,13
BP,GO:0043062,extracellular structure organization,13/726,190/18773,0.068421053,1.769240249,2.137479514,0.033590727,0.502779464,0.485525631,loxl5b/spint1a/serpinh1b/sulf1/p4ha1b/adamts9/ccdc80/ier3ip1/spint1b/col2a1a/col1a2/fras1/col10a1b,13
BP,GO:0008154,actin polymerization or depolymerization,10/726,133/18773,0.07518797,1.944220054,2.191781014,0.033763502,0.502779464,0.485525631,mical1/ssh2b/scinla/diaph2/baiap2a/fam49ba/lmod2b/svila/cfl1l/dbnlb,10
BP,GO:0009611,response to wounding,12/726,171/18773,0.070175439,1.814605384,2.146281021,0.034037275,0.502779464,0.485525631,p2ry12/ppl/f2r/f13a1b/cxcl8a/f2rl1.1/evpla/fignl2/macf1a/rhoab/f9a/serpinc1,12
BP,GO:0014070,response to organic cyclic compound,11/726,152/18773,0.072368421,1.871311802,2.163291105,0.034140436,0.502779464,0.485525631,jun/myod1/jund/esrra/junbb/cyp24a1/cxcl8a/spata18/gna15.1/anxa1a/junba,11
