ONTOLOGY,ID,Description,pvalue_ASG_brain_AF,pvalue_ASG_brain_AR,pvalue_ASG_brain_FR,pvalue_DEG_brain_AF,pvalue_DEG_brain_AR,pvalue_DEG_brain_FR
BP,GO:0048532,anatomical structure arrangement,0.002298323,NA,NA,NA,NA,NA
BP,GO:0060729,intestinal epithelial structure maintenance,0.002298323,0.00916177,NA,NA,NA,NA
BP,GO:0061001,regulation of dendritic spine morphogenesis,0.002298323,0.00916177,NA,NA,NA,NA
BP,GO:0070142,synaptic vesicle budding,0.002298323,1.08784e-4,8.83657e-4,NA,NA,NA
BP,GO:0008610,lipid biosynthetic process,0.00229871,0.005111636,NA,NA,NA,3.25493e-4
CC,GO:0030136,clathrin-coated vesicle,0.002320067,0.003490074,0.00168014,NA,NA,NA
MF,GO:0035255,ionotropic glutamate receptor binding,0.00233981,0.00863483,NA,NA,NA,NA
BP,GO:0008038,neuron recognition,0.002341277,0.012802044,5.68e-6,0.005221371,NA,NA
CC,GO:0032588,trans-Golgi network membrane,0.002344317,NA,NA,NA,NA,NA
BP,GO:0017156,calcium-ion regulated exocytosis,0.002498295,NA,9.58e-5,NA,NA,NA
BP,GO:0036465,synaptic vesicle recycling,0.002498295,0.002652024,0.00262515,NA,NA,NA
BP,GO:0016236,macroautophagy,0.002508161,0.038938839,NA,NA,NA,NA
MF,GO:0022824,transmitter-gated monoatomic ion channel activity,0.002525425,0.001199794,NA,NA,NA,NA
MF,GO:0022835,transmitter-gated channel activity,0.002525425,0.001199794,NA,NA,NA,NA
BP,GO:0010669,epithelial structure maintenance,0.002563649,0.00555785,0.011139607,NA,NA,NA
BP,GO:0030307,positive regulation of cell growth,0.002563649,NA,NA,NA,NA,NA
BP,GO:0140352,export from cell,0.002609297,NA,0.005416736,NA,NA,NA
BP,GO:0048668,collateral sprouting,0.002662313,NA,0.028524223,NA,NA,NA
BP,GO:0048193,Golgi vesicle transport,0.002713104,0.008740416,0.002611357,NA,NA,NA
MF,GO:0030374,nuclear receptor coactivator activity,0.002717233,NA,0.028114957,NA,NA,NA
BP,GO:0006644,phospholipid metabolic process,0.002790036,NA,NA,NA,NA,NA
BP,GO:0010970,transport along microtubule,0.002846152,NA,0.011280916,NA,NA,NA
CC,GO:0030662,coated vesicle membrane,0.002891676,0.024591533,NA,0.012235008,NA,NA
CC,GO:1990752,microtubule end,0.002995386,0.025940281,2.29475e-4,NA,NA,NA
CC,GO:0098839,postsynaptic density membrane,0.00299703,7.0396e-4,0.038061158,NA,NA,NA
MF,GO:0008514,organic anion transmembrane transporter activity,0.00315969,0.006438066,0.022541244,NA,NA,NA
CC,GO:0045178,basal part of cell,0.003169353,0.005259193,0.040202508,NA,NA,NA
BP,GO:0030516,regulation of axon extension,0.003196575,NA,0.025311965,NA,NA,NA
BP,GO:0010720,positive regulation of cell development,0.003240187,NA,0.048972377,NA,NA,NA
BP,GO:0071248,cellular response to metal ion,0.003272069,0.006818004,0.012801523,NA,NA,NA
BP,GO:0071322,cellular response to carbohydrate stimulus,0.003344303,NA,NA,NA,NA,NA
BP,GO:0071326,cellular response to monosaccharide stimulus,0.003344303,NA,NA,NA,NA,NA
BP,GO:0071331,cellular response to hexose stimulus,0.003344303,NA,NA,NA,NA,NA
BP,GO:0071333,cellular response to glucose stimulus,0.003344303,NA,NA,NA,NA,NA
MF,GO:0016866,intramolecular transferase activity,0.003346931,0.001229375,0.01256078,NA,NA,NA
MF,GO:0046943,carboxylic acid transmembrane transporter activity,0.003360182,0.013406505,0.039732179,NA,NA,NA
MF,GO:0003713,transcription coactivator activity,0.003435094,NA,NA,0.002911466,0.001375575,NA
