ONTOLOGY,ID,Description,pvalue_ASG_brain_AF,pvalue_ASG_brain_AR,pvalue_ASG_brain_FR,pvalue_DEG_brain_AF,pvalue_DEG_brain_AR,pvalue_DEG_brain_FR
BP,GO:2000134,negative regulation of G1/S transition of mitotic cell cycle,NA,NA,NA,0.008034806,0.008714435,NA
BP,GO:0070482,response to oxygen levels,NA,NA,NA,0.008072487,NA,0.036383402
CC,GO:1905354,exoribonuclease complex,NA,NA,NA,0.008088655,0.047053195,NA
CC,GO:0005682,U5 snRNP,NA,NA,NA,0.008094208,0.009072838,NA
BP,GO:0042440,pigment metabolic process,NA,NA,NA,0.008160898,NA,NA
BP,GO:0072331,signal transduction by p53 class mediator,NA,NA,NA,0.008160898,NA,NA
MF,GO:0003995,acyl-CoA dehydrogenase activity,NA,NA,NA,0.008250721,NA,NA
MF,GO:0034056,estrogen response element binding,NA,NA,NA,0.008250721,NA,NA
MF,GO:0052890,"oxidoreductase activity, acting on the CH-CH group of donors, with a flavin as acceptor",NA,NA,NA,0.008250721,NA,NA
BP,GO:0005996,monosaccharide metabolic process,NA,NA,NA,0.008408939,NA,NA
BP,GO:0006575,cellular modified amino acid metabolic process,NA,NA,NA,0.008408939,NA,NA
MF,GO:0140297,DNA-binding transcription factor binding,NA,NA,NA,0.008667049,NA,NA
BP,GO:0009147,pyrimidine nucleoside triphosphate metabolic process,NA,NA,NA,0.008748544,NA,NA
MF,GO:0045182,translation regulator activity,NA,NA,NA,0.008798216,0.026021286,NA
BP,GO:0009123,nucleoside monophosphate metabolic process,NA,NA,NA,0.008864937,0.033754567,NA
BP,GO:0021510,spinal cord development,NA,NA,NA,0.008930763,0.002923346,NA
BP,GO:0009218,pyrimidine ribonucleotide metabolic process,NA,NA,NA,0.009057788,NA,NA
BP,GO:0016525,negative regulation of angiogenesis,NA,NA,NA,0.009057788,NA,NA
BP,GO:0043281,regulation of cysteine-type endopeptidase activity involved in apoptotic process,NA,NA,NA,0.009057788,NA,NA
BP,GO:0072332,intrinsic apoptotic signaling pathway by p53 class mediator,NA,NA,NA,0.009057788,NA,NA
BP,GO:2000181,negative regulation of blood vessel morphogenesis,NA,NA,NA,0.009057788,NA,NA
BP,GO:0006458,'de novo' protein folding,NA,NA,NA,0.009070934,0.006060583,0.011049214
BP,GO:0006778,porphyrin-containing compound metabolic process,NA,NA,NA,0.009070934,NA,NA
BP,GO:0016180,snRNA processing,NA,NA,NA,0.009070934,0.006060583,NA
BP,GO:0071383,cellular response to steroid hormone stimulus,NA,NA,NA,0.009070934,NA,NA
BP,GO:0031123,RNA 3'-end processing,NA,NA,NA,0.00913672,NA,NA
MF,GO:0016887,ATP hydrolysis activity,NA,NA,NA,0.009177188,NA,0.010648746
BP,GO:0051241,negative regulation of multicellular organismal process,NA,NA,NA,0.009188892,NA,NA
MF,GO:0042887,amide transmembrane transporter activity,NA,NA,NA,0.009437757,NA,NA
BP,GO:0006096,glycolytic process,NA,NA,NA,0.00951791,NA,NA
BP,GO:0046032,ADP catabolic process,NA,NA,NA,0.00951791,NA,NA
BP,GO:0046434,organophosphate catabolic process,NA,NA,NA,0.009694768,NA,NA
MF,GO:0005319,lipid transporter activity,NA,NA,NA,0.010100431,0.0076042770000000004,NA
BP,GO:0022616,DNA strand elongation,NA,NA,NA,0.010218705,0.025360374,NA
BP,GO:0030522,intracellular receptor signaling pathway,NA,NA,NA,0.010360247,NA,0.032408245
BP,GO:1902600,proton transmembrane transport,NA,NA,NA,0.010360247,NA,NA
MF,GO:0004386,helicase activity,NA,NA,NA,0.01061389,NA,NA
BP,GO:0001510,RNA methylation,NA,NA,NA,0.010771035,NA,NA
BP,GO:0006826,iron ion transport,NA,NA,NA,0.010784619,0.024288085,NA
BP,GO:1901137,carbohydrate derivative biosynthetic process,NA,NA,NA,0.011040669,NA,NA
BP,GO:0030162,regulation of proteolysis,NA,NA,NA,0.011185609,NA,0.00557679
BP,GO:0006402,mRNA catabolic process,NA,NA,NA,0.011217595,NA,NA
BP,GO:0046394,carboxylic acid biosynthetic process,NA,NA,NA,0.011230921,NA,NA
MF,GO:0008080,N-acetyltransferase activity,NA,NA,NA,0.011316717,NA,NA
BP,GO:0009755,hormone-mediated signaling pathway,NA,NA,NA,0.011369069,NA,NA
MF,GO:0008135,"translation factor activity, RNA binding",NA,NA,NA,0.011383055,NA,NA
BP,GO:0009148,pyrimidine nucleoside triphosphate biosynthetic process,NA,NA,NA,0.011431874,NA,NA
BP,GO:0034472,snRNA 3'-end processing,NA,NA,NA,0.011431874,NA,NA
BP,GO:0036302,atrioventricular canal development,NA,NA,NA,0.011431874,NA,NA
BP,GO:0051156,glucose 6-phosphate metabolic process,NA,NA,NA,0.011431874,NA,NA
BP,GO:0009137,purine nucleoside diphosphate catabolic process,NA,NA,NA,0.011643715,NA,NA
BP,GO:0009181,purine ribonucleoside diphosphate catabolic process,NA,NA,NA,0.011643715,NA,NA
BP,GO:0030239,myofibril assembly,NA,NA,NA,0.011722061,0.026628187,NA
BP,GO:0031214,biomineral tissue development,NA,NA,NA,0.011791208,NA,NA
MF,GO:0015252,proton channel activity,NA,NA,NA,0.011798324,NA,NA
BP,GO:0021517,ventral spinal cord development,NA,NA,NA,0.011912771,8.40426e-4,NA
BP,GO:0006284,base-excision repair,NA,NA,NA,0.011957207,NA,NA
BP,GO:0006783,heme biosynthetic process,NA,NA,NA,0.011957207,NA,0.049954427
BP,GO:1901343,negative regulation of vasculature development,NA,NA,NA,0.012018361,NA,NA
BP,GO:0010927,cellular component assembly involved in morphogenesis,NA,NA,NA,0.01204966,0.049262846,NA
BP,GO:0032989,cellular anatomical entity morphogenesis,NA,NA,NA,0.01204966,0.049262846,NA
MF,GO:0016769,"transferase activity, transferring nitrogenous groups",NA,NA,NA,0.012240604,NA,NA
BP,GO:0002262,myeloid cell homeostasis,NA,NA,NA,0.012264686,NA,0.005081657
MF,GO:0016799,"hydrolase activity, hydrolyzing N-glycosyl compounds",NA,NA,NA,0.012370649,NA,NA
BP,GO:0000956,nuclear-transcribed mRNA catabolic process,NA,NA,NA,0.012575478,NA,NA
BP,GO:0050878,regulation of body fluid levels,NA,NA,NA,0.012575478,0.009332984,NA
CC,GO:0072686,mitotic spindle,NA,NA,NA,0.01269561,0.045524316,NA
BP,GO:0006415,translational termination,NA,NA,NA,0.012834028,NA,NA
BP,GO:0043248,proteasome assembly,NA,NA,NA,0.012834028,0.011869666,NA
BP,GO:1900107,regulation of nodal signaling pathway,NA,NA,NA,0.012834028,NA,NA
BP,GO:1901797,negative regulation of signal transduction by p53 class mediator,NA,NA,NA,0.012834028,NA,NA
BP,GO:1902253,regulation of intrinsic apoptotic signaling pathway by p53 class mediator,NA,NA,NA,0.012834028,NA,NA
CC,GO:0005736,RNA polymerase I complex,NA,NA,NA,0.012925859,0.012349372,NA
CC,GO:0030663,COPI-coated vesicle membrane,NA,NA,NA,0.012925859,NA,NA
BP,GO:0006639,acylglycerol metabolic process,NA,NA,NA,0.01298603,0.001562747,NA
BP,GO:0048565,digestive tract development,NA,NA,NA,0.012994323,0.020179663,NA
MF,GO:0000774,adenyl-nucleotide exchange factor activity,NA,NA,NA,0.013167894,NA,NA
MF,GO:0015250,water channel activity,NA,NA,NA,0.013167894,0.011962323,NA
BP,GO:0009451,RNA modification,NA,NA,NA,0.013192453,NA,NA
MF,GO:0015078,proton transmembrane transporter activity,NA,NA,NA,0.013339621,NA,NA
BP,GO:0061008,hepaticobiliary system development,NA,NA,NA,0.013658344,0.003039952,NA
BP,GO:0016053,organic acid biosynthetic process,NA,NA,NA,0.013703524,NA,NA
BP,GO:0009953,dorsal/ventral pattern formation,NA,NA,NA,0.01374557,0.018144283,NA
MF,GO:0005548,phospholipid transporter activity,NA,NA,NA,0.014012125,0.027800692,NA
BP,GO:0009191,ribonucleoside diphosphate catabolic process,NA,NA,NA,0.014123289,NA,NA
BP,GO:0016052,carbohydrate catabolic process,NA,NA,NA,0.014458636,NA,NA
MF,GO:0033293,monocarboxylic acid binding,NA,NA,NA,0.014870561,0.004600487,NA
BP,GO:0009226,nucleotide-sugar biosynthetic process,NA,NA,NA,0.014903398,NA,NA
BP,GO:0032925,regulation of activin receptor signaling pathway,NA,NA,NA,0.014903398,NA,NA
CC,GO:0005685,U1 snRNP,NA,NA,NA,0.015020782,0.00637769,NA
BP,GO:0006289,nucleotide-excision repair,NA,NA,NA,0.015052032,NA,NA
BP,GO:0034599,cellular response to oxidative stress,NA,NA,NA,0.015052032,NA,NA
BP,GO:0001889,liver development,NA,NA,NA,0.015096579,0.002233522,NA
CC,GO:0000228,nuclear chromosome,NA,NA,NA,0.015193662,NA,NA
BP,GO:0002040,sprouting angiogenesis,NA,NA,NA,0.015210919,NA,NA
BP,GO:0006544,glycine metabolic process,NA,NA,NA,0.015648378,NA,NA
BP,GO:0006620,post-translational protein targeting to endoplasmic reticulum membrane,NA,NA,NA,0.015648378,NA,NA
BP,GO:0019755,one-carbon compound transport,NA,NA,NA,0.015648378,NA,NA
BP,GO:0042776,proton motive force-driven mitochondrial ATP synthesis,NA,NA,NA,0.015648378,NA,NA
BP,GO:0043144,sno(s)RNA processing,NA,NA,NA,0.015648378,NA,NA
BP,GO:0050819,negative regulation of coagulation,NA,NA,NA,0.015648378,NA,NA
BP,GO:0060971,embryonic heart tube left/right pattern formation,NA,NA,NA,0.015648378,NA,NA
BP,GO:0072178,nephric duct morphogenesis,NA,NA,NA,0.015648378,NA,NA
BP,GO:0051084,'de novo' post-translational protein folding,NA,NA,NA,0.015653027,0.004087739,0.009181571
BP,GO:2000116,regulation of cysteine-type endopeptidase activity,NA,NA,NA,0.015653027,NA,NA
CC,GO:0005667,transcription regulator complex,NA,NA,NA,0.015670649,NA,0.007134369
BP,GO:1902221,erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process,NA,NA,NA,0.015809755,NA,NA
CC,GO:0030686,90S preribosome,NA,NA,NA,0.015945451,0.003319927,NA
BP,GO:0006779,porphyrin-containing compound biosynthetic process,NA,NA,NA,0.01596671,NA,NA
BP,GO:0006891,intra-Golgi vesicle-mediated transport,NA,NA,NA,0.01596671,NA,NA
BP,GO:0033014,tetrapyrrole biosynthetic process,NA,NA,NA,0.01596671,NA,NA
BP,GO:0045185,maintenance of protein location,NA,NA,NA,0.01596671,NA,NA
BP,GO:0045746,negative regulation of Notch signaling pathway,NA,NA,NA,0.01596671,NA,NA
MF,GO:0004300,enoyl-CoA hydratase activity,NA,NA,NA,0.016000399,3.84752e-4,NA
MF,GO:0016842,amidine-lyase activity,NA,NA,NA,0.016000399,NA,NA
MF,GO:0004527,exonuclease activity,NA,NA,NA,0.016065318,NA,NA
MF,GO:0061135,endopeptidase regulator activity,NA,NA,NA,0.016181083,NA,NA
MF,GO:0008483,transaminase activity,NA,NA,NA,0.016219191,NA,NA
MF,GO:0019213,deacetylase activity,NA,NA,NA,0.016219191,0.004138806,NA
MF,GO:0008134,transcription factor binding,NA,NA,NA,0.016281639,NA,NA
MF,GO:0033558,protein lysine deacetylase activity,NA,NA,NA,0.016302647,0.003169297,NA
BP,GO:0048821,erythrocyte development,NA,NA,NA,0.016992524,NA,9.85833e-4
BP,GO:0170034,L-amino acid biosynthetic process,NA,NA,NA,0.016992524,NA,NA
BP,GO:0170038,proteinogenic amino acid biosynthetic process,NA,NA,NA,0.016992524,NA,NA
MF,GO:0016860,intramolecular oxidoreductase activity,NA,NA,NA,0.017246278,NA,NA
MF,GO:0120013,lipid transfer activity,NA,NA,NA,0.017246278,0.031326372,NA
MF,GO:0030170,pyridoxal phosphate binding,NA,NA,NA,0.017781453,NA,0.007816915
MF,GO:0070279,vitamin B6 binding,NA,NA,NA,0.017781453,NA,0.007816915
MF,GO:0090079,"translation regulator activity, nucleic acid binding",NA,NA,NA,0.018009265,NA,NA
BP,GO:0052547,regulation of peptidase activity,NA,NA,NA,0.018225612,NA,0.007213073
BP,GO:0097193,intrinsic apoptotic signaling pathway,NA,NA,NA,0.018367368,NA,NA
BP,GO:1901607,alpha-amino acid biosynthetic process,NA,NA,NA,0.018468533,NA,NA
MF,GO:0005507,copper ion binding,NA,NA,NA,0.018490055,NA,NA
BP,GO:0006405,RNA export from nucleus,NA,NA,NA,0.018540531,NA,NA
CC,GO:0090575,RNA polymerase II transcription regulator complex,NA,NA,NA,0.018741917,NA,NA
BP,GO:0006890,"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum",NA,NA,NA,0.018968879,NA,NA
BP,GO:0000963,mitochondrial RNA processing,NA,NA,NA,0.019330342,NA,NA
BP,GO:0006271,DNA strand elongation involved in DNA replication,NA,NA,NA,0.019330342,0.015672577,NA
BP,GO:0006298,mismatch repair,NA,NA,NA,0.019330342,NA,NA
BP,GO:0042771,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,NA,NA,NA,0.019330342,NA,NA
MF,GO:0004518,nuclease activity,NA,NA,NA,0.019716644,NA,NA
MF,GO:0061134,peptidase regulator activity,NA,NA,NA,0.019716644,NA,NA
BP,GO:0006417,regulation of translation,NA,NA,NA,0.020137599,0.016473903,NA
BP,GO:0035051,cardiocyte differentiation,NA,NA,NA,0.020381447,NA,NA
BP,GO:0034101,erythrocyte homeostasis,NA,NA,NA,0.020669423,NA,0.003376242
BP,GO:0055001,muscle cell development,NA,NA,NA,0.02069922,NA,NA
MF,GO:0005504,fatty acid binding,NA,NA,NA,0.020750654,0.005063271,NA
BP,GO:0006006,glucose metabolic process,NA,NA,NA,0.020866218,NA,NA
BP,GO:0000470,maturation of LSU-rRNA,NA,NA,NA,0.020878639,0.009718148,NA
BP,GO:2000045,regulation of G1/S transition of mitotic cell cycle,NA,NA,NA,0.020878639,0.037457463,NA
BP,GO:0002042,cell migration involved in sprouting angiogenesis,NA,NA,NA,0.020934399,NA,NA
BP,GO:0042541,hemoglobin biosynthetic process,NA,NA,NA,0.020934399,NA,0.029362892
CC,GO:0005686,U2 snRNP,NA,NA,NA,0.021094294,0.008301566,NA
BP,GO:0006633,fatty acid biosynthetic process,NA,NA,NA,0.021818157,0.032880509,NA
BP,GO:0007599,hemostasis,NA,NA,NA,0.021818157,0.013472692,NA
BP,GO:0045727,positive regulation of translation,NA,NA,NA,0.021870877,NA,NA
BP,GO:0071897,DNA biosynthetic process,NA,NA,NA,0.021870877,0.00635368,NA
BP,GO:0031329,regulation of cellular catabolic process,NA,NA,NA,0.022663593,NA,NA
BP,GO:0015931,nucleobase-containing compound transport,NA,NA,NA,0.022878644,NA,NA
CC,GO:0098687,chromosomal region,NA,NA,NA,0.023260928,NA,NA
BP,GO:1990542,mitochondrial transmembrane transport,NA,NA,NA,0.023303828,NA,NA
BP,GO:0033013,tetrapyrrole metabolic process,NA,NA,NA,0.023591502,NA,NA
BP,GO:0046148,pigment biosynthetic process,NA,NA,NA,0.023591502,NA,NA
MF,GO:0008757,S-adenosylmethionine-dependent methyltransferase activity,NA,NA,NA,0.023601049,0.042785563,NA
BP,GO:0015849,organic acid transport,NA,NA,NA,0.023607145,4.52968e-4,NA
MF,GO:0051082,unfolded protein binding,NA,NA,NA,0.023837085,NA,NA
BP,GO:0007266,Rho protein signal transduction,NA,NA,NA,0.02432272,0.014704885,NA
BP,GO:0009124,nucleoside monophosphate biosynthetic process,NA,NA,NA,0.02437102,NA,NA
BP,GO:0006740,NADPH regeneration,NA,NA,NA,0.024793673,NA,NA
BP,GO:0019320,hexose catabolic process,NA,NA,NA,0.024793673,NA,NA
BP,GO:0033962,P-body assembly,NA,NA,NA,0.024793673,NA,NA
BP,GO:0046349,amino sugar biosynthetic process,NA,NA,NA,0.024793673,NA,NA
MF,GO:0140097,"catalytic activity, acting on DNA",NA,NA,NA,0.024941133,NA,NA
CC,GO:0031011,Ino80 complex,NA,NA,NA,0.024941326,NA,NA
BP,GO:2001242,regulation of intrinsic apoptotic signaling pathway,NA,NA,NA,0.025268544,NA,NA
MF,GO:0002039,p53 binding,NA,NA,NA,0.025330995,0.041405505,NA
MF,GO:0004017,adenylate kinase activity,NA,NA,NA,0.025330995,NA,NA
MF,GO:0008307,structural constituent of muscle,NA,NA,NA,0.025330995,NA,NA
MF,GO:0008330,protein tyrosine/threonine phosphatase activity,NA,NA,NA,0.025330995,NA,5.45093e-4
MF,GO:0033550,MAP kinase tyrosine phosphatase activity,NA,NA,NA,0.025330995,NA,5.45093e-4
BP,GO:0030111,regulation of Wnt signaling pathway,NA,NA,NA,0.025384315,NA,NA
BP,GO:0051248,negative regulation of protein metabolic process,NA,NA,NA,0.025384315,NA,NA
BP,GO:0030218,erythrocyte differentiation,NA,NA,NA,0.025412728,NA,0.002961968
BP,GO:0000070,mitotic sister chromatid segregation,NA,NA,NA,0.025902067,NA,0.006049249
MF,GO:0045499,chemorepellent activity,NA,NA,NA,0.026137748,NA,NA
MF,GO:0016627,"oxidoreductase activity, acting on the CH-CH group of donors",NA,NA,NA,0.026743247,NA,NA
BP,GO:0032008,positive regulation of TOR signaling,NA,NA,NA,0.026789064,NA,NA
BP,GO:0045324,late endosome to vacuole transport,NA,NA,NA,0.026789064,NA,NA
BP,GO:0006414,translational elongation,NA,NA,NA,0.026849755,NA,NA
BP,GO:0008652,amino acid biosynthetic process,NA,NA,NA,0.026849755,NA,NA
BP,GO:0009267,cellular response to starvation,NA,NA,NA,0.026849755,NA,NA
BP,GO:0002244,hematopoietic progenitor cell differentiation,NA,NA,NA,0.02764347,3.35e-5,NA
BP,GO:0006614,SRP-dependent cotranslational protein targeting to membrane,NA,NA,NA,0.027747989,NA,NA
BP,GO:0035907,dorsal aorta development,NA,NA,NA,0.027747989,0.020159942,NA
BP,GO:0046653,tetrahydrofolate metabolic process,NA,NA,NA,0.027747989,NA,NA
BP,GO:0070373,negative regulation of ERK1 and ERK2 cascade,NA,NA,NA,0.027747989,NA,NA
BP,GO:0032984,protein-containing complex disassembly,NA,NA,NA,0.027831754,0.041883095,NA
BP,GO:0031669,cellular response to nutrient levels,NA,NA,NA,0.027921705,NA,NA
BP,GO:0043525,positive regulation of neuron apoptotic process,NA,NA,NA,0.02796363,NA,NA
BP,GO:1901796,regulation of signal transduction by p53 class mediator,NA,NA,NA,0.02796363,NA,NA
BP,GO:1904263,positive regulation of TORC1 signaling,NA,NA,NA,0.02796363,NA,NA
MF,GO:0005372,water transmembrane transporter activity,NA,NA,NA,0.028423031,0.020312023,NA
BP,GO:0032511,late endosome to vacuole transport via multivesicular body sorting pathway,NA,NA,NA,0.028470177,NA,NA
BP,GO:1905952,regulation of lipid localization,NA,NA,NA,0.028470177,NA,NA
BP,GO:0097190,apoptotic signaling pathway,NA,NA,NA,0.02872269,NA,NA
BP,GO:0050817,coagulation,NA,NA,NA,0.028806381,0.016405943,NA
BP,GO:0006406,mRNA export from nucleus,NA,NA,NA,0.028982836,NA,NA
BP,GO:1903034,regulation of response to wounding,NA,NA,NA,0.028982836,0.013999861,NA
MF,GO:0004529,DNA exonuclease activity,NA,NA,NA,0.029236365,NA,NA
MF,GO:0016895,"DNA exonuclease activity, producing 5'-phosphomonoesters",NA,NA,NA,0.029236365,NA,NA
MF,GO:0120014,phospholipid transfer activity,NA,NA,NA,0.029236365,NA,NA
MF,GO:0140104,molecular carrier activity,NA,NA,NA,0.029286795,0.025514122,NA
BP,GO:0055123,digestive system development,NA,NA,NA,0.029424956,0.039977776,NA
BP,GO:0051276,chromosome organization,NA,NA,NA,0.029547185,NA,NA
BP,GO:0055002,striated muscle cell development,NA,NA,NA,0.029788752,NA,NA
BP,GO:0000380,"alternative mRNA splicing, via spliceosome",NA,NA,NA,0.029798578,NA,NA
BP,GO:0009134,nucleoside diphosphate catabolic process,NA,NA,NA,0.029798578,NA,NA
MF,GO:0008094,"ATP-dependent activity, acting on DNA",NA,NA,NA,0.029834654,NA,NA
MF,GO:0060590,ATPase regulator activity,NA,NA,NA,0.030024843,NA,NA
MF,GO:0072341,modified amino acid binding,NA,NA,NA,0.030024843,NA,NA
BP,GO:0045595,regulation of cell differentiation,NA,NA,NA,0.03007796,0.04903636,0.006114715
BP,GO:0009628,response to abiotic stimulus,NA,NA,NA,0.030187588,NA,6.88e-5
BP,GO:0080134,regulation of response to stress,NA,NA,NA,0.030309216,NA,NA
MF,GO:0004536,DNA nuclease activity,NA,NA,NA,0.03034179,NA,NA
BP,GO:0046942,carboxylic acid transport,NA,NA,NA,0.030822616,8.73284e-4,NA
BP,GO:0006511,ubiquitin-dependent protein catabolic process,NA,NA,NA,0.030879842,NA,NA
BP,GO:0008277,regulation of G protein-coupled receptor signaling pathway,NA,NA,NA,0.031313907,NA,NA
BP,GO:0006879,intracellular iron ion homeostasis,NA,NA,NA,0.031401908,NA,NA
BP,GO:0030490,maturation of SSU-rRNA,NA,NA,NA,0.03208165,0.008671255,NA
BP,GO:0015711,organic anion transport,NA,NA,NA,0.032283885,5.94579e-4,NA
BP,GO:0000122,negative regulation of transcription by RNA polymerase II,NA,NA,NA,0.032617448,0.008365535,NA
CC,GO:0015629,actin cytoskeleton,NA,NA,NA,0.032889501,NA,0.010223614
BP,GO:0006260,DNA replication,NA,NA,NA,0.033576386,NA,NA
BP,GO:0002183,cytoplasmic translational initiation,NA,NA,NA,0.033785713,NA,NA
BP,GO:0042558,pteridine-containing compound metabolic process,NA,NA,NA,0.033785713,NA,NA
BP,GO:0051085,chaperone cofactor-dependent protein refolding,NA,NA,NA,0.033785713,0.003306155,0.008322836
BP,GO:1902806,regulation of cell cycle G1/S phase transition,NA,NA,NA,0.033785713,0.049664036,NA
BP,GO:1905330,regulation of morphogenesis of an epithelium,NA,NA,NA,0.033785713,NA,NA
BP,GO:0008285,negative regulation of cell population proliferation,NA,NA,NA,0.034372565,NA,NA
MF,GO:0052689,carboxylic ester hydrolase activity,NA,NA,NA,0.03441396,0.006090973,NA
BP,GO:0090288,negative regulation of cellular response to growth factor stimulus,NA,NA,NA,0.034526899,0.029188569,NA
MF,GO:0004857,enzyme inhibitor activity,NA,NA,NA,0.035416601,NA,0.024812052
BP,GO:0045214,sarcomere organization,NA,NA,NA,0.035696415,0.007010526,NA
BP,GO:0050821,protein stabilization,NA,NA,NA,0.035966842,0.027289867,NA
MF,GO:0140678,molecular function inhibitor activity,NA,NA,NA,0.036152547,NA,0.019382956
MF,GO:0140662,ATP-dependent protein folding chaperone,NA,NA,NA,0.036436269,NA,0.002443478
BP,GO:0007596,blood coagulation,NA,NA,NA,0.036626756,0.012164092,NA
BP,GO:0000054,ribosomal subunit export from nucleus,NA,NA,NA,0.036764292,NA,NA
BP,GO:0016074,sno(s)RNA metabolic process,NA,NA,NA,0.036764292,NA,NA
BP,GO:0033750,ribosome localization,NA,NA,NA,0.036764292,NA,NA
BP,GO:0045444,fat cell differentiation,NA,NA,NA,0.036764292,NA,NA
BP,GO:0046365,monosaccharide catabolic process,NA,NA,NA,0.036764292,NA,NA
BP,GO:0070527,platelet aggregation,NA,NA,NA,0.036764292,NA,NA
CC,GO:0000177,cytoplasmic exosome (RNase complex),NA,NA,NA,0.036974982000000003,NA,NA
CC,GO:0030894,replisome,NA,NA,NA,0.036974982000000003,NA,NA
CC,GO:0043601,nuclear replisome,NA,NA,NA,0.036974982000000003,NA,NA
CC,GO:0044665,MLL1/2 complex,NA,NA,NA,0.036974982000000003,NA,NA
CC,GO:0071339,MLL1 complex,NA,NA,NA,0.036974982000000003,NA,NA
MF,GO:0015035,protein-disulfide reductase activity,NA,NA,NA,0.036995167,NA,NA
BP,GO:0009799,specification of symmetry,NA,NA,NA,0.037152079,0.013411943,NA
BP,GO:0009855,determination of bilateral symmetry,NA,NA,NA,0.037152079,0.013411943,NA
CC,GO:1990351,transporter complex,NA,NA,NA,0.037484711,NA,NA
BP,GO:0060828,regulation of canonical Wnt signaling pathway,NA,NA,NA,0.037528781,NA,NA
MF,GO:0008296,3'-5'-DNA exonuclease activity,NA,NA,NA,0.03753119,NA,NA
MF,GO:0070530,K63-linked polyubiquitin modification-dependent protein binding,NA,NA,NA,0.03753119,NA,NA
MF,GO:0097153,cysteine-type endopeptidase activity involved in apoptotic process,NA,NA,NA,0.03753119,NA,NA
BP,GO:0032507,maintenance of protein location in cell,NA,NA,NA,0.037644647,NA,NA
BP,GO:0009166,nucleotide catabolic process,NA,NA,NA,0.037896056,NA,NA
BP,GO:0015718,monocarboxylic acid transport,NA,NA,NA,0.037896056,1.86274e-4,NA
CC,GO:0005732,sno(s)RNA-containing ribonucleoprotein complex,NA,NA,NA,0.037914527,0.013281325,NA
CC,GO:0045277,respiratory chain complex IV,NA,NA,NA,0.037914527,NA,NA
BP,GO:0006613,cotranslational protein targeting to membrane,NA,NA,NA,0.038265559,NA,NA
BP,GO:0030330,"DNA damage response, signal transduction by p53 class mediator",NA,NA,NA,0.038265559,NA,NA
BP,GO:0009156,ribonucleoside monophosphate biosynthetic process,NA,NA,NA,0.038297445,NA,NA
BP,GO:0048545,response to steroid hormone,NA,NA,NA,0.038426293,NA,0.009927576
BP,GO:0032922,circadian regulation of gene expression,NA,NA,NA,0.038510549,4.45638e-4,NA
CC,GO:0000178,exosome (RNase complex),NA,NA,NA,0.038512725,NA,NA
MF,GO:0004407,histone deacetylase activity,NA,NA,NA,0.03862608,0.002411371,NA
MF,GO:0030515,snoRNA binding,NA,NA,NA,0.03862608,3.67451e-4,NA
MF,GO:0070003,threonine-type peptidase activity,NA,NA,NA,0.03862608,NA,NA
BP,GO:0061371,determination of heart left/right asymmetry,NA,NA,NA,0.039084669,0.002690669,NA
CC,GO:0016607,nuclear speck,NA,NA,NA,0.039105522,NA,NA
MF,GO:0004806,triacylglycerol lipase activity,NA,NA,NA,0.039164808,0.02554839,NA
MF,GO:0004869,cysteine-type endopeptidase inhibitor activity,NA,NA,NA,0.039164808,NA,NA
MF,GO:0045125,bioactive lipid receptor activity,NA,NA,NA,0.039164808,NA,NA
BP,GO:0006401,RNA catabolic process,NA,NA,NA,0.039240523,NA,NA
BP,GO:0060562,epithelial tube morphogenesis,NA,NA,NA,0.039346668,NA,NA
MF,GO:0003746,translation elongation factor activity,NA,NA,NA,0.039699013,NA,NA
MF,GO:0015036,disulfide oxidoreductase activity,NA,NA,NA,0.039768205,NA,NA
BP,GO:0090263,positive regulation of canonical Wnt signaling pathway,NA,NA,NA,0.040796058,NA,NA
BP,GO:0009895,negative regulation of catabolic process,NA,NA,NA,0.042258821,NA,NA
BP,GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage,NA,NA,NA,0.042300736,NA,NA
BP,GO:0031647,regulation of protein stability,NA,NA,NA,0.042791609,NA,NA
BP,GO:0010506,regulation of autophagy,NA,NA,NA,0.043099353,NA,NA
MF,GO:0030414,peptidase inhibitor activity,NA,NA,NA,0.043267602,NA,NA
BP,GO:0030902,hindbrain development,NA,NA,NA,0.043830943,NA,NA
BP,GO:0170036,import into the mitochondrion,NA,NA,NA,0.045312955,NA,NA
CC,GO:0032040,small-subunit processome,NA,NA,NA,0.045758819,NA,0.025821774
BP,GO:1901136,carbohydrate derivative catabolic process,NA,NA,NA,0.046230838,NA,NA
BP,GO:0030177,positive regulation of Wnt signaling pathway,NA,NA,NA,0.04649976,NA,NA
BP,GO:0009066,aspartate family amino acid metabolic process,NA,NA,NA,0.046652912,NA,NA
BP,GO:0006195,purine nucleotide catabolic process,NA,NA,NA,0.047165214,NA,NA
BP,GO:0032006,regulation of TOR signaling,NA,NA,NA,0.047165214,NA,NA
BP,GO:0141188,nucleic acid catabolic process,NA,NA,NA,0.047372802,NA,NA
BP,GO:0007368,determination of left/right symmetry,NA,NA,NA,0.047849519,0.010480816,NA
BP,GO:0031101,fin regeneration,NA,NA,NA,0.04799178,NA,4.7264e-4
BP,GO:0045765,regulation of angiogenesis,NA,NA,NA,0.04800514,NA,NA
