ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
CC,GO:0005819,spindle,43/2610,154/19331,0.279220779,2.068052446,5.257359344,1.75E-06,0.000106681,9.74E-05,mapre2/kif11/shcbp1/plk1/aurkb/firrm/ndel1b/prc1b/hspb1/espl1/rmdn1/cdca8/aspm/unc119a2/dlgap5/spout1/nusap1/numa1/ckap2l/clasp1a/ckap5/mapre3b/kntc1/mzt2b/ska3/wdr62/eml1/kif2c/kif18a/tubgcp5/agbl5/racgap1/tpx2/odf2a/map9/nin/incenp/anapc5/knstrn/cep63/pin4/ska1/haus1,43
BP,GO:0006635,fatty acid beta-oxidation,18/2545,42/18773,0.428571429,3.161324726,5.55304064,3.08E-06,0.000371825,0.000328647,cpt1b/eci1/acadl/cpt1ab/hadhab/cpt2/crot/acad11/acaa1/hadh/etfb/abcd1/acaa2/acads/ech1/decr1/echdc2/echs1,18
BP,GO:0170033,L-amino acid metabolic process,40/2545,142/18773,0.281690141,2.077866017,5.105726366,3.43E-06,0.000398806,0.000352495,glud1b/agxtb/th2/psph/zgc:92040/qdpra/tha1/agxta/kmo/ido1/asrgl1/aldh4a1/fah/hgd/prodha/aldh18a1/ggh/gstz1/pah/nos1/ttc36/gcat/sephs3/got1/kynu/gfpt2/amdhd1/glulb/gfpt1/got2a/gls2a/bhmt/psat1/cbsb/mtap/dglucy/ftcd/arg1/gcshb/thnsl2,40
BP,GO:0009063,amino acid catabolic process,30/2545,94/18773,0.319148936,2.354177988,5.21230154,3.64E-06,0.000407436,0.000360123,glud1b/zgc:92040/aldh6a1/qdpra/tha1/kmo/ido1/asrgl1/aldh4a1/sardh/fah/hgd/prodha/gstz1/pah/nos1/gcat/kynu/bckdhb/amdhd1/bckdha/got2a/gls2a/zgc:162816/enosf1/ftcd/arg1/gcshb/ddo/thnsl2,30
BP,GO:0034440,lipid oxidation,21/2545,55/18773,0.381818182,2.816452938,5.342474282,4.46E-06,0.000481039,0.000425179,cpt1b/eci1/acadl/hacl1/cpt1ab/hadhab/phyh/cpt2/crot/acad11/acaa1/hadh/etfb/abcd1/acaa2/zgc:152891/acads/ech1/decr1/echdc2/echs1,21
BP,GO:0006575,cellular modified amino acid metabolic process,31/2545,102/18773,0.303921569,2.241854463,4.980278912,7.85E-06,0.000817601,0.000722658,gstt1a/gstk1/ckmt1/mthfd1b/gstr/gstt2/cpt1b/mthfd1l/acadl/abhd12/cpt1ab/tmlhe/gamt/sardh/zgc:154046/ptdss2/ggh/gstz1/chdh/gch2/mthfd1a/gstm.1/bbox1/bhmt/aldh1l2/aldh9a1a.1/gstt1b/ggt1a/dhfr/ethe1/fpgs,31
BP,GO:0019216,regulation of lipid metabolic process,26/2545,79/18773,0.329113924,2.427683967,5.035715377,8.53E-06,0.000858385,0.000758705,thrsp/scap/tm6sf2b/ncoa2/ormdl3/ldlra/cpt1ab/pdk2a/fgfr4/pdk4/psap/kdm1a/stat5a/acaa2/zgc:195173/dcaf5/si:ch1073-406l10.2/srebf2/pdk1/tlcd3ba/ormdl2/mid1ip1b/pnpla3/tlcd3bb/srebf1/fgf1a,26
BP,GO:1901615,organic hydroxy compound metabolic process,56/2545,232/18773,0.24137931,1.780516225,4.737246871,9.02E-06,0.000878615,0.000776587,zgc:162608/sult1st3/cyp46a1.5/scap/th2/itpkcb/sprb/cyp27b1/dgat2/qdpra/soat2/adh8a/lrata/ldlra/pck1/fgfr4/fah/itpkb/lbr/apoeb/lratb.1/ldhba/amacr/pcbd1/mfsd12a/cyp2r1/gch2/cyp24a1/sptlc2b/dbh/cyp46a1.1/hmgcra/cyp7a1/idh1/nus1/sult1st2/ttpa/cyp27a3/tm7sf2/srebf2/ip6k2a/gdpd1/nudt4a/sc5d/hsd17b7/tpk1/tpi1b/dhrs9/ddt/dhcr7/fgf1a/tkfc/zgc:172295/hsd11b2/npc2.1/trpm7,56
CC,GO:0005740,mitochondrial envelope,95/2610,457/19331,0.207877462,1.539647208,4.612550311,9.03E-06,0.000460355,0.000420171,cox4i2/ckmt1/slc25a55a/acadvl/sfxn1/prelid3b/cpt1b/samm50/kmo/etfdh/slc25a47a/slc25a33/cox6a2/zgc:73226/si:ch73-141c7.1/tmem14a/bcl2l1/slc25a42/cpt2/atp5pf/mpc2b/ubiad1/slc25a20/ndufs4/ndufb4/acad11/cox5b2/ndufb10/hccsb/ttc19/atp5pd/chdh/smdt1b/chchd3a/slc25a25a/mtch2/si:dkey-237i9.1/ak2/ppox/coa8/ifi27.6/atp5mea/tomm7/slc25a40/adck1/mix23/oxa1l/cox5aa/pgrmc1/chchd6a/slc25a38a/zgc:110843/marc1/atp5meb/aifm2/slc25a37/hk2/alas1/lpin1a/fundc1/ndufs5/yme1l1a/mpc1/atpsckmt/afg3l2/slc39a9/uqcrq/tomm6/tmem70/tomm70a/slc25a24/cox7a1/ndufs6/ndufb8/ucp2/plekhn1/slc25a5/spata18/uqcrb/atp5pb/atp5mc1/cibar1/grpel1/mief1/bida/ndufa7/timm10b/dhodh/slc25a43/fpgs/zgc:172295/armc1/uqcrh/rps6kb1b/letm2,95
CC,GO:0072686,mitotic spindle,18/2610,45/19331,0.4,2.962605364,5.207427286,9.41E-06,0.000460355,0.000420171,kif11/prc1b/espl1/rmdn1/spout1/nusap1/ckap2l/clasp1a/ska3/wdr62/eml1/kif18a/agbl5/racgap1/map9/nin/knstrn/ska1,18
