ONTOLOGY,ID,Description,pvalue_ASG_liver_AF,pvalue_ASG_liver_AR,pvalue_ASG_liver_FR,pvalue_DEG_liver_AF,pvalue_DEG_liver_AR,pvalue_DEG_liver_FR
BP,GO:1901616,organic hydroxy compound catabolic process,0.020356074,NA,0.008784559,0.037530034,0.002069573,NA
BP,GO:0031647,regulation of protein stability,0.020499058,NA,NA,NA,NA,0.007209968
BP,GO:0061548,ganglion development,0.02101989,NA,NA,NA,NA,NA
BP,GO:1904375,regulation of protein localization to cell periphery,0.02101989,0.012352353,0.02436135,NA,NA,NA
BP,GO:0046928,regulation of neurotransmitter secretion,0.022923607,NA,NA,NA,NA,NA
BP,GO:0006325,chromatin organization,0.023370286,NA,NA,0.020149798,3.02758e-4,NA
BP,GO:0016052,carbohydrate catabolic process,0.024003412,NA,NA,NA,0.042264379,NA
BP,GO:0009953,dorsal/ventral pattern formation,0.024303921,NA,NA,1.58152e-4,NA,NA
BP,GO:0006611,protein export from nucleus,0.024819653,NA,NA,NA,NA,NA
BP,GO:0042180,cellular ketone metabolic process,0.024852409,0.025739703,0.014203167,3.03184e-4,7.45694e-4,0.012025674
BP,GO:1901617,organic hydroxy compound biosynthetic process,0.02551594,NA,NA,NA,0.001787971,3.39414e-4
BP,GO:0061008,hepaticobiliary system development,0.025675294,NA,NA,0.007578648,0.001135924,0.004416192
BP,GO:0001702,gastrulation with mouth forming second,0.026632006,NA,NA,0.005689305,0.022061561,NA
BP,GO:0006898,receptor-mediated endocytosis,0.027968804,NA,0.030064385,NA,NA,NA
BP,GO:0007044,cell-substrate junction assembly,0.028963267,NA,NA,NA,NA,NA
BP,GO:0045116,protein neddylation,0.028963267,NA,NA,NA,NA,NA
BP,GO:0046185,aldehyde catabolic process,0.028963267,NA,0.030444893,NA,0.022853014,NA
BP,GO:0150115,cell-substrate junction organization,0.028963267,NA,NA,NA,NA,NA
BP,GO:1904888,cranial skeletal system development,0.029464855,NA,NA,0.004663371,0.011649474,0.002283946
BP,GO:0060113,inner ear receptor cell differentiation,0.02967861,0.012375148,0.015027257,NA,NA,NA
BP,GO:0062012,regulation of small molecule metabolic process,0.030115488,NA,0.033141619,0.008269941,3.3e-5,NA
BP,GO:0008654,phospholipid biosynthetic process,0.030250146,0.02050138,NA,NA,NA,NA
BP,GO:0048704,embryonic skeletal system morphogenesis,0.030562877,NA,0.026435543,0.017798802,NA,0.032598824
BP,GO:0001666,response to hypoxia,0.030979258,0.031449775,NA,7.53286e-4,NA,0.046976294
BP,GO:0021675,nerve development,0.030979258,NA,NA,NA,NA,NA
BP,GO:1902221,erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process,0.031763897,NA,0.00138496,0.001530935,1.7388e-4,NA
BP,GO:0008045,motor neuron axon guidance,0.031791102,0.013329223,NA,NA,NA,NA
BP,GO:0006558,L-phenylalanine metabolic process,0.033448615,NA,0.033688306,0.003301426,0.006351542,NA
BP,GO:0006559,L-phenylalanine catabolic process,0.033448615,NA,0.033688306,0.003301426,0.006351542,NA
BP,GO:0010458,exit from mitosis,0.033448615,NA,NA,NA,NA,NA
BP,GO:0032786,positive regulation of DNA-templated transcription elongation,0.033448615,NA,NA,NA,NA,NA
BP,GO:0043001,Golgi to plasma membrane protein transport,0.033448615,NA,0.002875878,NA,NA,NA
BP,GO:1902117,positive regulation of organelle assembly,0.033448615,NA,NA,NA,NA,NA
BP,GO:2000300,regulation of synaptic vesicle exocytosis,0.033448615,NA,NA,NA,NA,NA
